구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년03월11일,1879.66,1789.36,1779.34,1795.61,1775.09,1796.68,1787.28,1795.63,1800.09,1787.04,1796.35,1786.14,1782.72,1779.84,1785.16,1819.57,1789.78
2013년03월12일,1876.70,1788.14,1778.72,1794.87,1774.29,1796.84,1786.18,1794.61,1800.00,1786.27,1796.05,1785.37,1782.37,1779.41,1784.78,1819.72,1790.53
2013년03월13일,1873.59,1786.55,1777.51,1793.49,1773.00,1795.63,1785.73,1792.90,1799.31,1785.80,1795.44,1784.19,1782.23,1779.29,1783.73,1819.26,1791.83
2013년03월14일,1872.66,1785.05,1776.25,1792.22,1772.68,1795.18,1784.22,1791.42,1798.80,1785.45,1795.31,1783.25,1781.52,1778.73,1782.85,1819.52,1791.13
2013년03월15일,1870.80,1782.40,1774.44,1789.96,1771.17,1793.96,1784.09,1789.41,1797.91,1784.77,1794.56,1781.59,1780.64,1777.58,1782.01,1785.18,1791.00
2013년03월16일,1868.83,1780.64,1771.94,1788.05,1768.73,1792.63,1783.17,1787.49,1797.35,1784.20,1794.06,1779.90,1779.44,1776.48,1780.64,1780.87,1790.50
2013년03월17일,1868.01,1779.86,1770.88,1786.75,1767.71,1791.32,1781.74,1786.60,1796.44,1783.33,1793.82,1778.47,1778.67,1775.55,1779.81,1780.54,1789.75
2013년03월18일,1867.52,1778.90,1769.82,1785.20,1766.29,1791.30,1781.84,1785.74,1796.35,1781.54,1792.35,1777.76,1777.80,1774.18,1779.17,1781.18,1790.50
2013년03월19일,1865.79,1776.04,1766.99,1782.23,1764.59,1789.83,1778.84,1782.84,1795.15,1780.09,1790.77,1775.84,1776.74,1772.57,1777.75,1781.49,1789.57
2013년03월20일,1862.99,1774.40,1764.51,1780.72,1762.06,1787.30,1775.52,1781.08,1793.50,1777.96,1789.51,1773.92,1775.84,1771.00,1776.31,1780.05,1788.37
2013년03월21일,1860.45,1772.49,1761.24,1779.08,1760.57,1786.22,1773.39,1779.46,1792.64,1777.14,1788.81,1772.95,1775.31,1769.47,1774.89,1780.56,1785.50
2013년03월22일,1858.58,1770.58,1757.16,1777.27,1758.73,1785.05,1772.13,1777.74,1791.45,1775.94,1787.73,1771.66,1774.29,1767.80,1773.36,1780.18,1784.27
