구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2016년01월20일,835.00,610.00,605.90,579.42,597.50,620.50,739.90,615.47,584.07,642.25,593.21,597.18,591.69,555.65,601.35,533.79,703.57
2016년01월21일,835.00,601.66,600.81,572.57,597.50,615.75,735.36,614.27,582.36,636.25,590.90,595.71,590.84,550.00,599.42,532.38,697.85
2016년01월22일,835.00,601.66,588.09,579.83,597.50,615.75,735.36,610.70,576.46,637.91,589.85,592.00,586.50,548.08,598.65,532.38,697.85
2016년01월23일,725.00,601.66,586.27,573.16,593.00,616.50,745.75,607.27,572.92,635.72,586.35,585.62,584.58,540.41,594.35,526.53,697.85
2016년01월24일,725.00,601.66,586.27,558.14,586.75,616.50,744.91,602.62,570.06,631.94,585.27,585.50,586.38,540.01,593.74,522.30,667.00
2016년01월25일,725.00,601.66,586.27,558.42,586.75,616.50,744.08,603.13,568.74,629.38,582.31,585.67,582.22,539.40,593.14,522.30,664.00
2016년01월26일,725.00,596.66,580.72,558.14,581.12,616.50,739.91,603.74,562.64,626.78,577.93,585.71,575.11,535.33,589.92,513.94,654.00
2016년01월27일,725.00,596.66,578.90,558.42,581.12,609.75,739.91,602.08,557.95,622.22,574.06,581.26,570.89,533.14,586.65,514.40,648.00
2016년01월28일,725.00,588.33,578.90,555.83,566.12,609.75,739.08,598.84,553.62,625.21,573.08,582.54,565.71,527.88,583.46,522.30,648.00
2016년01월29일,725.00,588.33,578.90,555.83,553.62,601.00,734.41,598.18,549.53,622.57,570.11,582.00,560.73,528.31,581.57,523.23,624.00
2016년01월30일,725.00,588.33,578.90,555.00,553.62,601.00,734.41,601.00,549.51,617.62,567.34,580.38,560.38,526.40,580.73,517.37,624.00
2016년01월31일,725.00,583.33,578.90,569.16,553.62,601.00,731.91,595.93,547.07,613.79,566.18,580.92,557.47,524.38,581.37,517.37,624.00
2016년02월01일,725.00,583.33,578.90,567.50,553.62,601.00,731.91,595.98,545.18,613.72,562.56,582.10,556.08,522.07,582.38,517.37,624.00
2016년02월02일,725.00,583.33,574.36,567.50,553.62,601.00,731.91,590.99,543.91,612.03,562.45,577.97,555.33,519.15,579.98,516.07,611.66
2016년02월03일,725.00,608.57,574.36,551.42,578.62,592.25,727.75,590.69,543.39,613.83,559.23,573.81,552.88,516.78,575.62,517.13,645.00
2016년02월04일,725.00,594.28,574.36,536.42,553.62,592.25,711.18,591.47,542.39,606.95,558.61,567.80,549.41,516.85,574.33,504.62,645.00
2016년02월05일,725.00,594.28,565.27,551.28,566.12,592.25,711.18,588.38,541.82,604.93,555.30,564.68,551.92,515.95,576.04,504.35,645.00
2016년02월06일,725.00,594.28,565.27,539.57,553.62,585.50,715.72,579.94,538.54,603.05,555.18,564.34,546.33,512.73,575.06,510.02,608.33
