,날짜,지역,일반유가
0,2013-01-15,부산,1748.75
0,2013-01-15,대구,1734.37
0,2013-01-15,인천,1743.64
0,2013-01-15,광주,1725.49
0,2013-01-15,대전,1746.96
0,2013-01-15,울산,1742.81
0,2013-01-15,경기,1751.74
0,2013-01-15,강원,1757.54
0,2013-01-15,충북,1746.37
0,2013-01-15,충남,1756.61
0,2013-01-15,전북,1738.32
0,2013-01-15,전남,1738.61
0,2013-01-15,경북,1738.08
0,2013-01-15,경남,1738.96
0,2013-01-15,제주,1780.73
0,2013-01-15,세종,1745.89
0,2013-01-16,서울,1839.23
0,2013-01-16,부산,1748.49
0,2013-01-16,대구,1734.41
0,2013-01-16,인천,1744.37
0,2013-01-16,광주,1724.95
0,2013-01-16,대전,1747.36
0,2013-01-16,울산,1743.15
0,2013-01-16,경기,1751.47
0,2013-01-16,강원,1756.93
0,2013-01-16,충북,1746.16
0,2013-01-16,충남,1756.18
0,2013-01-16,전북,1737.41
0,2013-01-16,전남,1738.28
0,2013-01-16,경북,1737.43
0,2013-01-16,경남,1738.37
0,2013-01-16,제주,1780.7
0,2013-01-16,세종,1746.21
0,2013-01-17,서울,1839.29
0,2013-01-17,부산,1747.56
0,2013-01-17,대구,1734.11
0,2013-01-17,인천,1743.98
0,2013-01-17,광주,1725.39
0,2013-01-17,대전,1746.79
0,2013-01-17,울산,1741.66
0,2013-01-17,경기,1750.99
0,2013-01-17,강원,1756.34
0,2013-01-17,충북,1745.94
0,2013-01-17,충남,1755.88
0,2013-01-17,전북,1737.44
0,2013-01-17,전남,1738.13
0,2013-01-17,경북,1737.04
0,2013-01-17,경남,1738.48
0,2013-01-17,제주,1781.01
0,2013-01-17,세종,1744.98
0,2013-01-18,서울,1838.84
0,2013-01-18,부산,1747.3
0,2013-01-18,대구,1733.51
0,2013-01-18,인천,1743.49
0,2013-01-18,광주,1725.01
0,2013-01-18,대전,1746.62
0,2013-01-18,울산,1742.46
0,2013-01-18,경기,1750.62
0,2013-01-18,강원,1756.11
0,2013-01-18,충북,1745.71
0,2013-01-18,충남,1755.24
0,2013-01-18,전북,1737.26
0,2013-01-18,전남,1738.05
0,2013-01-18,경북,1736.82
0,2013-01-18,경남,1737.81
0,2013-01-18,제주,1763.84
0,2013-01-18,세종,1744.25
0,2013-01-19,서울,1838.93
0,2013-01-19,부산,1746.9
0,2013-01-19,대구,1733.02
0,2013-01-19,인천,1743.12
0,2013-01-19,광주,1725.09
0,2013-01-19,대전,1746.5
0,2013-01-19,울산,1742.01
0,2013-01-19,경기,1750.16
0,2013-01-19,강원,1755.86
0,2013-01-19,충북,1745.5
0,2013-01-19,충남,1755.58
0,2013-01-19,전북,1736.79
0,2013-01-19,전남,1737.53
0,2013-01-19,경북,1736.7
0,2013-01-19,경남,1737.46
0,2013-01-19,제주,1762.33
0,2013-01-19,세종,1743.7
0,2013-01-20,서울,1838.08
0,2013-01-20,부산,1747.34
0,2013-01-20,대구,1733.24
0,2013-01-20,인천,1742.56
0,2013-01-20,광주,1725.22
0,2013-01-20,대전,1746.14
0,2013-01-20,울산,1741.25
0,2013-01-20,경기,1750.03
0,2013-01-20,강원,1755.55
0,2013-01-20,충북,1744.94
0,2013-01-20,충남,1755.54
0,2013-01-20,전북,1736.32
0,2013-01-20,전남,1737.22
0,2013-01-20,경북,1736.0
0,2013-01-20,경남,1737.38
0,2013-01-20,제주,1761.64
0,2013-01-20,세종,1743.52
0,2013-01-21,서울,1838.0
0,2013-01-21,부산,1746.75
0,2013-01-21,대구,1732.67
0,2013-01-21,인천,1741.9
0,2013-01-21,광주,1724.58
0,2013-01-21,대전,1745.92
0,2013-01-21,울산,1741.71
0,2013-01-21,경기,1749.9
0,2013-01-21,강원,1755.42
0,2013-01-21,충북,1744.88
0,2013-01-21,충남,1754.81
0,2013-01-21,전북,1736.27
0,2013-01-21,전남,1737.13
0,2013-01-21,경북,1736.03
0,2013-01-21,경남,1737.37
0,2013-01-21,제주,1762.1
0,2013-01-21,세종,1744.25
0,2013-01-22,서울,1836.7
0,2013-01-22,부산,1746.69
0,2013-01-22,대구,1732.34
0,2013-01-22,인천,1742.43
0,2013-01-22,광주,1724.61
0,2013-01-22,대전,1745.46
0,2013-01-22,울산,1741.67
0,2013-01-22,경기,1749.32
0,2013-01-22,강원,1754.58
0,2013-01-22,충북,1744.2
0,2013-01-22,충남,1753.92
0,2013-01-22,전북,1735.61
0,2013-01-22,전남,1736.98
0,2013-01-22,경북,1735.69
0,2013-01-22,경남,1737.08
0,2013-01-22,제주,1761.53
0,2013-01-22,세종,1744.76
0,2013-01-23,서울,1834.63
0,2013-01-23,부산,1745.37
0,2013-01-23,대구,1731.61
0,2013-01-23,인천,1741.63
0,2013-01-23,광주,1724.7
0,2013-01-23,대전,1745.49
0,2013-01-23,울산,1740.42
0,2013-01-23,경기,1748.18
0,2013-01-23,강원,1754.59
0,2013-01-23,충북,1744.14
0,2013-01-23,충남,1753.51
0,2013-01-23,전북,1735.14
0,2013-01-23,전남,1736.06
0,2013-01-23,경북,1735.16
0,2013-01-23,경남,1736.41
0,2013-01-23,제주,1761.87
0,2013-01-23,세종,1742.76
